id,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,,,,,,
45,1483412400,Clear,clear-night,0,0,69.52,69.52,49.91,0.5,1015.52,1.65,4.36,107,0,0,10,,,,,,,,
46,1483416000,Clear,clear-night,0,0,68.69,68.69,50.41,0.52,,0.97,3.54,293,0,0,10,,,,,,,,
47,1483419600,Clear,clear-night,0,0,66.46,66.46,49.89,0.55,,1.18,2.33,160,0,0,10,,,,,,,,
48,1483423200,Clear,clear-night,0,0,64.08,64.08,48.25,0.56,1016.88,0.85,4.62,125,0,0,10,,,,,,,,
49,1483426800,Clear,clear-night,0,0,63.29,63.29,48.81,0.59,,0.64,3.69,224,0,0,10,,,,,,,,
50,1483430400,Clear,clear-night,0,0,60.58,60.58,48.65,0.65,,0.5,1,213,0,0,10,,,,,,,,
51,1483434000,Clear,clear-night,0,0,59.76,59.76,49.7,0.69,1017.02,0.85,3.47,152,0,0,10,,,,,,,,
52,1483437600,Clear,clear-night,0,0,58.42,58.42,47.13,0.66,,0.51,2.18,251,0,0,10,,,,,,,,
53,1483441200,Clear,clear-night,0,0,57.45,57.45,46.91,0.68,,0.59,2.62,5,0,0,10,,,,,,,,
54,1483444800,Clear,clear-night,0,0,57.46,57.46,49.2,0.74,1016.34,1.35,1.41,199,0,0,10,,,,,,,,
55,1483448400,Clear,clear-night,0,0,56.12,56.12,45.87,0.68,,1.7,1.7,325,0.09,0,10,,,,,,,,
56,1483452000,Mostly Cloudy,partly-cloudy-day,0,0,56.03,56.03,45.06,0.67,,1.27,1.31,287,0.59,0,10,,,,,,,,
57,1483455600,Partly Cloudy,partly-cloudy-day,0,0,61.01,61.01,46.31,0.58,1017.35,0.95,1.29,265,0.38,1,10,,,,,,,,
58,1483459200,Mostly Cloudy,partly-cloudy-day,0,0,67.43,67.43,47.02,0.48,,2.63,3.01,314,0.59,2,10,,,,,,,,
59,1483462800,Mostly Cloudy,partly-cloudy-day,0,0,71.83,71.83,49.28,0.45,,1.13,3.3,315,0.59,3,10,,,,,,,,
60,1483466400,Partly Cloudy,partly-cloudy-day,0,0,75.48,75.48,49.52,0.4,1016.98,1.91,6.35,11,0.44,4,10,,,,,,,,
61,1483470000,Partly Cloudy,partly-cloudy-day,0,0,78.52,78.52,47.49,0.34,,2.81,7.05,56,0.44,4,10,,,,,,,,
62,1483473600,Partly Cloudy,partly-cloudy-day,0,0,80.84,80.84,45.77,0.29,,3.99,7.25,84,0.44,4,10,,,,,,,,
63,1483477200,Partly Cloudy,partly-cloudy-day,0,0,81.43,81.43,49.58,0.33,1014.01,3.58,4.56,95,0.36,3,10,,,,,,,,
64,1483480800,Partly Cloudy,partly-cloudy-day,0,0,81.13,81.13,48.56,0.32,,2.5,5.47,90,0.36,1,10,,,,,,,,
65,1483484400,Partly Cloudy,partly-cloudy-day,0,0,79.6,79.6,47.54,0.32,,3.12,4.72,130,0.36,0,10,,,,,,,,
66,1483488000,Partly Cloudy,partly-cloudy-night,0,0,76.19,76.19,51.83,0.43,1013.55,1.85,6.46,132,0.36,0,10,,,,,,,,
67,1483491600,Partly Cloudy,partly-cloudy-night,0,0,72.03,72.03,50.99,0.48,,1.09,2.03,138,0.36,0,10,,,,,,,,
68,1483495200,Partly Cloudy,partly-cloudy-night,0,0,70.81,70.81,51.91,0.51,,1.18,1.48,147,0.36,0,10,,,,,,,,
69,1483498800,Partly Cloudy,partly-cloudy-night,0,0,68.75,68.75,51.52,0.54,1016.19,1.41,2.69,196,0.36,0,10,,,,,,,,
70,1483502400,Clear,clear-night,0,0,65.79,65.79,50.38,0.58,,2.67,3.52,96,0,0,10,,,,,,,,
71,1483506000,Clear,clear-night,0,0,65.86,65.86,52.64,0.62,,1.53,1.8,75,0,0,10,,,,,,,,
72,1483509600,Clear,clear-night,0,0,64.16,64.16,52.77,0.66,1017.31,0.98,4.4,17,0,0,10,,,,,,,,
73,1483513200,Mostly Cloudy,partly-cloudy-night,0,0,62.8,62.8,52.8,0.7,,1.52,2.24,354,0.75,0,9.997,,,,,,,,
74,1483516800,Overcast,cloudy,0,0,61.65,61.65,53.7,0.75,,1.07,1.19,24,1,0,5,,,,,,,,
75,1483520400,Overcast,cloudy,0,0,62.64,62.64,55.53,0.78,1017.13,0.48,0.6,215,1,0,6.001,,,,,,,,
76,1483524000,Overcast,cloudy,0,0,61.17,61.17,54,0.77,,0.28,1.07,248,1,0,6.001,,,,,,,,
77,1483527600,Overcast,cloudy,0,0,60.53,60.53,54.48,0.8,,0.23,1.05,245,1,0,6.001,,,,,,,,
78,1483531200,Mostly Cloudy,partly-cloudy-night,0,0,59.67,59.67,54.93,0.84,1017.08,0.51,0.94,199,0.61,0,5,,,,,,,,
79,1483534800,Mostly Cloudy,partly-cloudy-night,0,0,58.67,58.67,53.86,0.84,,0.58,1.05,9,0.87,0,3.998,,,,,,,,
80,1483538400,Overcast,cloudy,0,0,58.74,58.74,53.74,0.83,,1.15,1.15,335,1,0,6.643,,,,,,,,
81,1483542000,Overcast,cloudy,0,0,60.79,60.79,54.29,0.79,1019.13,1.18,1.18,19,1,1,5.685,,,,,,,,
82,1483545600,Overcast,cloudy,0,0,61.19,61.19,55.41,0.81,,1.97,4.25,359,1,2,3.083,,,,,,,,
83,1483549200,Overcast,cloudy,0,0,61.47,61.47,56.93,0.85,,2.96,6.5,27,1,2,3.083,,,,,,,,
84,1483552800,Overcast,cloudy,0,0,59.29,59.29,55.96,0.89,1018.47,3.73,8.4,51,1,3,2.562,,,,,,,,
85,1483556400,Foggy,fog,0,0,59.9,59.9,56.6,0.89,,2.71,5.7,51,1,3,1.923,,,,,,,,
86,1483560000,Foggy,fog,0,0,60.04,60.04,57.02,0.9,,1.83,4.15,89,1,3,1.401,,,,,,,,
87,1483563600,Foggy,fog,0,0,58.95,58.95,56.92,0.93,1015.21,2.2,4.15,84,1,2,0.497,,,,,,,,
88,1483567200,Foggy,fog,0,0,58.71,58.71,57.09,0.94,,3.55,7.64,107,1,1,0.378,,,,,,,,
89,1483570800,Foggy,fog,0,0,58.01,58.01,56.53,0.95,,6.45,10.95,115,1,0,0.497,,,,,,,,
90,1483574400,Foggy,fog,0,0,56.18,56.18,54.96,0.96,1013.41,4.07,8.29,82,1,0,1.7,,,,,,,,
91,1483578000,Foggy,fog,0,0,55.16,55.16,54.31,0.97,,3.94,6.95,107,1,0,1.961,,,,,,,,
92,1483581600,Foggy,fog,0,0,54.31,54.31,53.27,0.96,,1.77,2.37,94,1,0,0.76,,,,,,,,
93,1483585200,Foggy,fog,0,0,53.6,53.6,53.49,1,1015.93,1.56,2.13,94,1,0,0.76,,,,,,,,
94,1483588800,Foggy,fog,0,0,53.53,53.53,52.73,0.97,,2.13,2.13,82,1,0,0.761,,,,,,,,
95,1483592400,Foggy,fog,0,0,53.4,53.4,52.73,0.98,,2.12,2.12,75,1,0,0.497,,,,,,,,
96,1483596000,Foggy,fog,0,0,53.25,53.25,53.25,1,1016.52,1.8,1.89,94,1,0,0.63,,,,,,,,
97,1483599600,Possible Drizzle,rain,0.0039,0.39,53.42,53.42,53.22,0.99,,0.14,0.87,50,1,0,0.497,rain,,,,,,,
98,1483603200,Foggy,fog,0,0,53.64,53.64,53.23,0.98,,0.19,0.75,30,1,0,2,,,,,,,,
99,1483606800,Foggy,fog,0,0,53.78,53.78,53.25,0.98,1014,0.38,0.73,359,1,0,0.497,,,,,,,,
100,1483610400,Foggy,fog,0,0,54.45,54.45,53.67,0.97,,0.15,0.8,263,1,0,0.497,,,,,,,,
101,1483614000,Foggy,fog,0,0,54.53,54.53,53.51,0.96,,0.75,1.63,207,1,0,1.002,,,,,,,,
